code,dataset,field,code_type,description,group,subgroup1,subgroup2,subgroup3,certitude,certitude_numeric,flag
G80.9,hes_apc,diag,icd10,cerebral palsy unspecified,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G81,hes_apc,diag,icd10,hemiplegia,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G81.0,hes_apc,diag,icd10,flaccid hemiplegia,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G81.1,hes_apc,diag,icd10,spastic hemiplegia,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G81.9,hes_apc,diag,icd10,hemiplegia unspecified,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G82,hes_apc,diag,icd10,paraplegia and tetraplegia,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G82.0,hes_apc,diag,icd10,flaccid paraplegia,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G82.1,hes_apc,diag,icd10,spastic paraplegia,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G82.2,hes_apc,diag,icd10,paraplegia unspecified,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G82.3,hes_apc,diag,icd10,flaccid tetraplegia,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G82.4,hes_apc,diag,icd10,spastic tetraplegia,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G82.5,hes_apc,diag,icd10,tetraplegia unspecified,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G83,hes_apc,diag,icd10,other paralytic syndromes,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G83.0,hes_apc,diag,icd10,diplegia of upper limbs,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G83.1,hes_apc,diag,icd10,monoplegia of lower limb,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G83.2,hes_apc,diag,icd10,monoplegia of upper limb,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
G83.3,hes_apc,diag,icd10,monoplegia unspecified,non_perinatal,a_neurodisab,a3_cerebral_palsy,,definite,3,
F80.3,hes_apc,diag,icd10,acquired aphasia with epilepsy [landau-kleffner],non_perinatal,a_neurodisab,a4_epilepsy,,definite,3,
G40,hes_apc,diag,icd10,epilepsy,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
G40.0,hes_apc,diag,icd10,localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
G40.1,hes_apc,diag,icd10,localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
G40.2,hes_apc,diag,icd10,localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
G40.3,hes_apc,diag,icd10,generalized idiopathic epilepsy and epileptic syndromes,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
G40.4,hes_apc,diag,icd10,other generalized epilepsy and epileptic syndromes,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
G40.5,hes_apc,diag,icd10,special epileptic syndromes,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.5,
G40.6,hes_apc,diag,icd10,grand mal seizures unspecified (with or without petit mal),non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
G40.7,hes_apc,diag,icd10,petit mal unspecified without grand mal seizures,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
G40.8,hes_apc,diag,icd10,other epilepsy,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
G40.9,hes_apc,diag,icd10,epilepsy unspecified,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
G41,hes_apc,diag,icd10,status epilepticus,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.5,
G41.0,hes_apc,diag,icd10,grand mal status epilepticus,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.5,
G41.1,hes_apc,diag,icd10,petit mal status epilepticus,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.5,
G41.2,hes_apc,diag,icd10,complex partial status epilepticus,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.5,
G41.8,hes_apc,diag,icd10,other status epilepticus,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.5,
G41.9,hes_apc,diag,icd10,status epilepticus unspecified,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.5,
Y46.0,hes_apc,diag,icd10,succinimides,non_perinatal,a_neurodisab,a4_epilepsy,,maybe,1.5,
Y46.1,hes_apc,diag,icd10,oxazolidinediones,non_perinatal,a_neurodisab,a4_epilepsy,,maybe,1.5,
Y46.2,hes_apc,diag,icd10,hydantoin derivatives,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
Y46.3,hes_apc,diag,icd10,deoxybarbiturates,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
Y46.4,hes_apc,diag,icd10,iminostilbenes,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
Y46.5,hes_apc,diag,icd10,valproic acid,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
Y46.6,hes_apc,diag,icd10,other and unspecified antiepileptics,non_perinatal,a_neurodisab,a4_epilepsy,,definite,2.25,
F90,hes_apc,diag,icd10,hyperkinetic disorders,non_perinatal,a_neurodisab,a5_adhd,,definite,3,
F90.0,hes_apc,diag,icd10,disturbance of activity and attention,non_perinatal,a_neurodisab,a5_adhd,,definite,3,
F90.1,hes_apc,diag,icd10,hyperkinetic conduct disorder,non_perinatal,a_neurodisab,a5_adhd,,definite,3,
F90.8,hes_apc,diag,icd10,other hyperkinetic disorders,non_perinatal,a_neurodisab,a5_adhd,,definite,3,
F90.9,hes_apc,diag,icd10,hyperkinetic disorder unspecified,non_perinatal,a_neurodisab,a5_adhd,,definite,3,
F84,hes_apc,diag,icd10,pervasive developmental disorders,non_perinatal,a_neurodisab,,,definite,3,
Q90,hes_apc,diag,icd10,down syndrome,non_perinatal,b_cong_inherit,b1_chromos_anom,b1a_down_synd,definite,3,
Q90.0,hes_apc,diag,icd10,trisomy 21 meiotic nondisjunction,non_perinatal,b_cong_inherit,b1_chromos_anom,b1a_down_synd,definite,3,
Q90.1,hes_apc,diag,icd10,trisomy 21 mosaicism (mitotic nondisjunction),non_perinatal,b_cong_inherit,b1_chromos_anom,b1a_down_synd,definite,2.75,
Q90.2,hes_apc,diag,icd10,trisomy 21 translocation,non_perinatal,b_cong_inherit,b1_chromos_anom,b1a_down_synd,definite,3,
Q90.9,hes_apc,diag,icd10,down syndrome unspecified,non_perinatal,b_cong_inherit,b1_chromos_anom,b1a_down_synd,definite,3,
Q91,hes_apc,diag,icd10,edwards' syndrome and patau syndrome,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,3,
Q91.0,hes_apc,diag,icd10,trisomy 18 meiotic nondisjunction,non_perinatal,b_cong_inherit,b1_chromos_anom,b1b_edwards,definite,3,
Q91.1,hes_apc,diag,icd10,trisomy 18 mosaicism (mitotic nondisjunction),non_perinatal,b_cong_inherit,b1_chromos_anom,b1b_edwards,definite,2.75,
Q91.2,hes_apc,diag,icd10,trisomy 18 translocation,non_perinatal,b_cong_inherit,b1_chromos_anom,b1b_edwards,definite,3,
Q91.3,hes_apc,diag,icd10,edwards' syndrome unspecified,non_perinatal,b_cong_inherit,b1_chromos_anom,b1b_edwards,definite,3,
Q91.4,hes_apc,diag,icd10,trisomy 13 meiotic nondisjunction,non_perinatal,b_cong_inherit,b1_chromos_anom,b1c_patau,definite,3,
Q91.5,hes_apc,diag,icd10,trisomy 13 mosaicism (mitotic nondisjunction),non_perinatal,b_cong_inherit,b1_chromos_anom,b1c_patau,definite,2.75,
Q91.6,hes_apc,diag,icd10,trisomy 13 translocation,non_perinatal,b_cong_inherit,b1_chromos_anom,b1c_patau,definite,3,
Q91.7,hes_apc,diag,icd10,patau syndrome unspecified,non_perinatal,b_cong_inherit,b1_chromos_anom,b1c_patau,definite,3,
Q92,hes_apc,diag,icd10,other trisomies and partial trisomies of the autosomes not elsewhere classified,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,3,
Q92.0,hes_apc,diag,icd10,whole chromosome trisomy meiotic nondisjunction,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,3,
Q92.1,hes_apc,diag,icd10,whole chromosome trisomy mosaicism (mitotic nondisjunction),non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.75,
Q92.2,hes_apc,diag,icd10,major partial trisomy,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.25,
Q92.3,hes_apc,diag,icd10,minor partial trisomy,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.25,
Q92.4,hes_apc,diag,icd10,duplications seen only at prometaphase,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.25,
Q92.5,hes_apc,diag,icd10,duplications with other complex rearrangements,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.75,
Q92.6,hes_apc,diag,icd10,extra marker chromosomes,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.75,
Q92.7,hes_apc,diag,icd10,triploidy and polyploidy,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,3,
Q92.8,hes_apc,diag,icd10,other specified trisomies and partial trisomies of autosomes,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.75,
Q92.9,hes_apc,diag,icd10,trisomy and partial trisomy of autosomes unspecified,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.75,
Q93,hes_apc,diag,icd10,monosomies and deletions from the autosomes not elsewhere classified,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.5,
Q93.0,hes_apc,diag,icd10,whole chromosome monosomy meiotic nondisjunction,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.25,
Q93.1,hes_apc,diag,icd10,whole chromosome monosomy mosaicism (mitotic nondisjunction),non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.5,
Q93.2,hes_apc,diag,icd10,chromosome replaced with ring or dicentric,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.5,
Q93.3,hes_apc,diag,icd10,deletion of short arm of chromosome 4,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.5,
Q93.4,hes_apc,diag,icd10,deletion of short arm of chromosome 5,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.5,
Q93.5,hes_apc,diag,icd10,other deletions of part of a chromosome,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.25,
Q93.6,hes_apc,diag,icd10,deletions seen only at prometaphase,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.25,
Q93.7,hes_apc,diag,icd10,deletions with other complex rearrangements,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.25,
Q93.8,hes_apc,diag,icd10,other deletions from the autosomes,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.5,
Q93.9,hes_apc,diag,icd10,deletion from autosomes unspecified,non_perinatal,b_cong_inherit,b1_chromos_anom,,definite,2.5,
Q00,hes_apc,diag,icd10,anencephaly and similar malformations,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2a_anancephaly,definite,3,
Q00.0,hes_apc,diag,icd10,anencephaly,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2a_anancephaly,definite,3,
Q00.1,hes_apc,diag,icd10,craniorachischisis,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2a_anancephaly,definite,3,
Q00.2,hes_apc,diag,icd10,iniencephaly,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2a_anancephaly,definite,3,
Q01,hes_apc,diag,icd10,encephalocele,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2b_encephalocele,definite,3,
Q01.0,hes_apc,diag,icd10,frontal encephalocele,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2b_encephalocele,definite,3,
Q01.1,hes_apc,diag,icd10,nasofrontal encephalocele,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2b_encephalocele,definite,3,
Q01.2,hes_apc,diag,icd10,occipital encephalocele,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2b_encephalocele,definite,3,
Q01.8,hes_apc,diag,icd10,encephalocele of other sites,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2b_encephalocele,definite,3,
Q01.9,hes_apc,diag,icd10,encephalocele unspecified,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2b_encephalocele,definite,3,
Q02,hes_apc,diag,icd10,microcephaly,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2c_microcephaly,definite,3,
Q03,hes_apc,diag,icd10,congenital hydrocephalus,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2d_cong_hydrocephalus,definite,3,
Q03.0,hes_apc,diag,icd10,malformations of aqueduct of sylvius,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2d_cong_hydrocephalus,definite,2.75,
Q03.1,hes_apc,diag,icd10,atresia of foramina of magendie and luschka,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2d_cong_hydrocephalus,definite,2.75,
Q03.8,hes_apc,diag,icd10,other congenital hydrocephalus,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2d_cong_hydrocephalus,definite,3,
Q03.9,hes_apc,diag,icd10,congenital hydrocephalus unspecified,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2d_cong_hydrocephalus,definite,3,
Q04,hes_apc,diag,icd10,other congenital malformations of brain,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,3,
Q04.0,hes_apc,diag,icd10,congenital malformations of corpus callosum,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,2.75,
Q04.1,hes_apc,diag,icd10,arhinencephaly,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,3,
Q04.2,hes_apc,diag,icd10,holoprosencephaly,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,3,
Q04.3,hes_apc,diag,icd10,other reduction deformities of brain,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,3,
Q04.4,hes_apc,diag,icd10,septo-optic dysplasia,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,3,
Q04.5,hes_apc,diag,icd10,megalencephaly,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,3,
Q04.6,hes_apc,diag,icd10,congenital cerebral cysts,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,2.75,
Q04.8,hes_apc,diag,icd10,other specified congenital malformations of brain,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,2.75,
Q04.9,hes_apc,diag,icd10,congenital malformation of brain unspecified,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,2.75,
Q05,hes_apc,diag,icd10,spina bifida,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2e_spina_bifida,definite,3,
Q05.0,hes_apc,diag,icd10,cervical spina bifida with hydrocephalus,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2e_spina_bifida,definite,3,
Q05.1,hes_apc,diag,icd10,thoracic spina bifida with hydrocephalus,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2e_spina_bifida,definite,3,
Q05.2,hes_apc,diag,icd10,lumbar spina bifida with hydrocephalus,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2e_spina_bifida,definite,3,
Q05.3,hes_apc,diag,icd10,sacral spina bifida with hydrocephalus,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2e_spina_bifida,definite,3,
Q05.4,hes_apc,diag,icd10,unspecified spina bifida with hydrocephalus,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2e_spina_bifida,definite,3,
Q05.5,hes_apc,diag,icd10,cervical spina bifida without hydrocephalus,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2e_spina_bifida,definite,3,
Q05.6,hes_apc,diag,icd10,thoracic spina bifida without hydrocephalus,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2e_spina_bifida,definite,3,
Q05.7,hes_apc,diag,icd10,lumbar spina bifida without hydrocephalus,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2e_spina_bifida,definite,3,
Q05.8,hes_apc,diag,icd10,sacral spina bifida without hydrocephalus,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2e_spina_bifida,definite,3,
Q05.9,hes_apc,diag,icd10,spina bifida unspecified,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,b2e_spina_bifida,definite,3,
Q06.0,hes_apc,diag,icd10,amyelia,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,3,
Q06.1,hes_apc,diag,icd10,hypoplasia and dysplasia of spinal cord,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,3,
Q06.2,hes_apc,diag,icd10,diastematomyelia,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,3,
Q06.3,hes_apc,diag,icd10,other congenital cauda equina malformations,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,2,
Q06.4,hes_apc,diag,icd10,hydromyelia,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,1.75,
Q06.8,hes_apc,diag,icd10,other specified congenital malformations of spinal cord,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,maybe,1.5,
Q06.9,hes_apc,diag,icd10,congenital malformation of spinal cord unspecified,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,2.25,
Q07.8,hes_apc,diag,icd10,other specified congenital malformations of nervous system,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,2.25,
Q07.9,hes_apc,diag,icd10,congenital malformation of nervous system unspecified,non_perinatal,b_cong_inherit,b2_ca_nerv_systm,,definite,2.25,
E00,hes_apc,diag,icd10,congenital iodine-deficiency syndrome,non_perinatal,b_cong_inherit,b3_cong_hypothyroid,,definite,2.75,
E00.0,hes_apc,diag,icd10,congenital iodine-deficiency syndrome neurological type,non_perinatal,b_cong_inherit,b3_cong_hypothyroid,,definite,2.75,
E00.1,hes_apc,diag,icd10,congenital iodine-deficiency syndrome myxoedematous type,non_perinatal,b_cong_inherit,b3_cong_hypothyroid,,definite,2.75,
E00.2,hes_apc,diag,icd10,congenital iodine-deficiency syndrome mixed type,non_perinatal,b_cong_inherit,b3_cong_hypothyroid,,definite,2.75,
E00.9,hes_apc,diag,icd10,congenital iodine-deficiency syndrome unspecified,non_perinatal,b_cong_inherit,b3_cong_hypothyroid,,definite,2.75,
Q86.0,hes_apc,diag,icd10,fetal alcohol syndrome (dysmorphic),non_perinatal,b_cong_inherit,b4_fas,,definite,3,
Q97.0,hes_apc,diag,icd10,karyotype 47xxx,non_perinatal,b_cong_inherit,b5_sex_chromosome,,maybe,1.75,
Q97.1,hes_apc,diag,icd10,female with more than three x chromosomes,non_perinatal,b_cong_inherit,b5_sex_chromosome,,definite,2.75,
Q97.2,hes_apc,diag,icd10,mosaicism lines with various numbers of x chromosomes,non_perinatal,b_cong_inherit,b5_sex_chromosome,,maybe,1.5,
Q97.8,hes_apc,diag,icd10,other specified sex chromosome abnormalities female phenotype,non_perinatal,b_cong_inherit,b5_sex_chromosome,,maybe,1.5,
Q97.9,hes_apc,diag,icd10,sex chromosome abnormality female phenotype unspecified,non_perinatal,b_cong_inherit,b5_sex_chromosome,,maybe,1.5,
Q98.0,hes_apc,diag,icd10,klinefelter syndrome karyotype 47xxy,non_perinatal,b_cong_inherit,b5_sex_chromosome,,definite,2.75,
Q98.1,hes_apc,diag,icd10,klinefelter syndrome male with more than two x chromosomes,non_perinatal,b_cong_inherit,b5_sex_chromosome,,definite,3,
Q98.2,hes_apc,diag,icd10,klinefelter syndrome male with 46xx karyotype,non_perinatal,b_cong_inherit,b5_sex_chromosome,,definite,3,
Q98.3,hes_apc,diag,icd10,other male with 46xx karyotype,non_perinatal,b_cong_inherit,b5_sex_chromosome,,definite,2.75,
Q98.4,hes_apc,diag,icd10,klinefelter syndrome unspecified,non_perinatal,b_cong_inherit,b5_sex_chromosome,,definite,2.75,
Q98.5,hes_apc,diag,icd10,karyotype 47xyy,non_perinatal,b_cong_inherit,b5_sex_chromosome,,definite,2.75,
Q98.6,hes_apc,diag,icd10,male with structurally abnormal sex chromosome,non_perinatal,b_cong_inherit,b5_sex_chromosome,,maybe,1.5,
Q98.7,hes_apc,diag,icd10,male with sex chromosome mosaicism,non_perinatal,b_cong_inherit,b5_sex_chromosome,,maybe,1.5,
Q98.8,hes_apc,diag,icd10,other specified sex chromosome abnormalities male phenotype,non_perinatal,b_cong_inherit,b5_sex_chromosome,,maybe,1.5,
Q98.9,hes_apc,diag,icd10,sex chromosome abnormality male phenotype unspecified,non_perinatal,b_cong_inherit,b5_sex_chromosome,,maybe,1.5,
Q99.2,hes_apc,diag,icd10,fragile x chromosome,non_perinatal,b_cong_inherit,b5_sex_chromosome,b5a_fragile_x,definite,3,
Q99.8,hes_apc,diag,icd10,other specified chromosome abnormalities,non_perinatal,b_cong_inherit,b5_sex_chromosome,,definite,2.25,
Q99.9,hes_apc,diag,icd10,chromosomal abnormality unspecified,non_perinatal,b_cong_inherit,b5_sex_chromosome,,maybe,1.5,overlap_perinatal
E70.2,hes_apc,diag,icd10,disorders of tyrosine metabolism,non_perinatal,b_cong_inherit,b6_metabolic,,maybe,1.5,
E70.3,hes_apc,diag,icd10,albinism,non_perinatal,b_cong_inherit,b6_metabolic,,definite,2.75,
E70.8,hes_apc,diag,icd10,other disorders of aromatic amino-acid metabolism,non_perinatal,b_cong_inherit,b6_metabolic,,maybe,1.75,
E70.9,hes_apc,diag,icd10,disorder of aromatic amino-acid metabolism unspecified,non_perinatal,b_cong_inherit,b6_metabolic,,maybe,1.75,
E71,hes_apc,diag,icd10,disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,non_perinatal,b_cong_inherit,b6_metabolic,,maybe,1.75,
E71.0,hes_apc,diag,icd10,maple-syrup-urine disease,non_perinatal,b_cong_inherit,b6_metabolic,,definite,2.75,
E71.1,hes_apc,diag,icd10,other disorders of branched-chain amino-acid metabolism,non_perinatal,b_cong_inherit,b6_metabolic,,definite,2.5,
E71.2,hes_apc,diag,icd10,disorder of branched-chain amino-acid metabolism unspecified,non_perinatal,b_cong_inherit,b6_metabolic,,definite,2.5,
E71.3,hes_apc,diag,icd10,disorders of fatty-acid metabolism,non_perinatal,b_cong_inherit,b6_metabolic,,definite,2.75,
E72,hes_apc,diag,icd10,other disorders of amino-acid metabolism,non_perinatal,b_cong_inherit,b6_metabolic,,definite,2.5,
E72.0,hes_apc,diag,icd10,disorders of amino-acid transport,non_perinatal,b_cong_inherit,b6_metabolic,,definite,2.5,
E72.1,hes_apc,diag,icd10,disorders of sulfur-bearing amino-acid metabolism,non_perinatal,b_cong_inherit,b6_metabolic,,definite,2.5,
