code,dataset,field,code_type,group,subgroup,reason_for_removal
Z45.42,hes_apc,diag,icd-10-cm,neuro,devices [neuro],code (including Z45.4) only exists in icd-10-cm
_00160J0,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160J1,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160J2,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160J3,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160J4,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160J5,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160J6,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160J7,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160J8,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160JB,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160K0,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160K1,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160K2,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160K3,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160K4,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160K5,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160K6,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160K7,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160K8,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00160KB,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163J0,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163J1,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163J2,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163J3,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163J4,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163J5,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163J6,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163J7,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163J8,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163JB,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163K0,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163K1,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163K2,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163K3,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163K4,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163K5,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163K6,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163K7,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163K8,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00163KB,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U0J4,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U0J6,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U0J7,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U0J9,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U0K4,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U0K6,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U0K7,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U0K9,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U3J4,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U3J6,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U3J7,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U3J9,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U3K4,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U3K6,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U3K7,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_001U3K9,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_009600Z,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_009630Z,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_009640Z,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00H00MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00H03MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00H04MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00H60MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00H63MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00H64MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00HE0MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00HE3MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00HE4MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00HU0MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00HU3MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00HU4MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00HV0MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00HV3MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00HV4MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00W60JZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00W63JZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00W64JZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00WU0JZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00WU3JZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_00WU4JZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_01HY0MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_01HY3MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_01HY4MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_0DH60MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_0DH63MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_0DH64MZ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_0W110J9,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_0W110JB,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_0W110JG,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_0W110JJ,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_3E1Q38X,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_3E1Q38Z,hes_apc,diag,icd-10-pcs,neuro,devices [neuro],icd-10-pcs codes not used in HES
_02170ZQ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02170ZR,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02BK0ZZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02LR0ZT,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02LS0ZZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02LT0ZZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02NH0ZZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02RK0JZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02RL0JZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02RM0JZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02RP0JZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02RQ07Z,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02RQ0JZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02RR07Z,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02RR0JZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02SP0ZZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02SW0ZZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02U70JZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02UA0JZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02UA3JZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02UA4JZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02VR0ZT,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02WA0JZ,hes_apc,diag,icd-10-pcs,cardio,cardio_malformations,icd-10-pcs codes not used in HES
_02H40JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H40KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H43JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H44JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H44KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H60JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H60KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H63JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H63KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H63MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H64JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H64KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H70KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H73JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H73KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H73MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02H74KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HA0QZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HA0RS,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HA0RZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HA3QZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HA3RS,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HA4QZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HA4RS,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HK0JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HK0KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HK3JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HK3KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HK3MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HK4JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HK4KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HL0JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HL0KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HL0MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HL3JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HL3KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HL3MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HL4JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HL4KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HL4MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HN0JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HN0KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HN0MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HN3JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HN3KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HN3MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HN4JZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HN4KZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02HN4MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02WA0QZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02WA0RZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02WA3QZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02WA3RZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02WA4QZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_02WA4RZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_03HK0MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_03HK3MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_03HK4MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_03HL0MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_03HL3MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_03HL4MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_03WY0MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_03WY3MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_03WY4MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH600Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH605Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH606Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH607Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH608Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH609Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH60AZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH60MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH60PZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH630Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH635Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH636Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH637Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH638Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH639Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH63AZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH63MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH63PZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH70MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH73MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH800Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH805Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH806Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH807Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH808Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH809Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH80AZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH80MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH80PZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH830Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH835Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH836Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH837Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH838Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH839Z,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH83AZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH83MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JH83PZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JWT0MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JWT0PZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JWT3MZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JWT3PZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_0JWTXMZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_4B02XSZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_4B02XTZ,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
_5A02110,hes_apc,diag,icd-10-pcs,cardio,devices [cardio],icd-10-pcs codes not used in HES
