code,dataset,field,code_type,description,group,subgroup,flag
Q25.2,hes_apc,diag,icd10,atresia of aorta,cardio,cardio_malformations,
Q25.3,hes_apc,diag,icd10,stenosis of aorta,cardio,cardio_malformations,
Q25.4,hes_apc,diag,icd10,other congenital malformations of aorta,cardio,cardio_malformations,
Q25.5,hes_apc,diag,icd10,atresia of pulmonary artery,cardio,cardio_malformations,
Q25.6,hes_apc,diag,icd10,stenosis of pulmonary artery,cardio,cardio_malformations,
Q25.7,hes_apc,diag,icd10,other congenital malformations of pulmonary artery,cardio,cardio_malformations,
Q25.8,hes_apc,diag,icd10,other congenital malformations of great arteries,cardio,cardio_malformations,
Q25.9,hes_apc,diag,icd10,congenital malformation of great arteries unspecified,cardio,cardio_malformations,
Q26,hes_apc,diag,icd10,congenital malformations of great veins,cardio,cardio_malformations,
Q28.2,hes_apc,diag,icd10,arteriovenous malformation of cerebral vessels,cardio,cardio_malformations,
Q28.3,hes_apc,diag,icd10,other malformations of cerebral vessels,cardio,cardio_malformations,
Q28.9,hes_apc,diag,icd10,congenital malformation of circulatory system unspecified,cardio,cardio_malformations,
I34.0,hes_apc,diag,icd10,mitral (valve) insufficiency,cardio,endocardium_dis,
I34.8,hes_apc,diag,icd10,other nonrheumatic mitral valve disorders,cardio,endocardium_dis,
I36.0,hes_apc,diag,icd10,nonrheumatic tricuspid (valve) stenosis,cardio,endocardium_dis,
I36.8,hes_apc,diag,icd10,other nonrheumatic tricuspid valve disorders,cardio,endocardium_dis,
I37.0,hes_apc,diag,icd10,pulmonary valve stenosis,cardio,endocardium_dis,
I37.8,hes_apc,diag,icd10,other pulmonary valve disorders,cardio,endocardium_dis,
I42,hes_apc,diag,icd10,cardiomyopathy,cardio,cardiomyopathy,
I43,hes_apc,diag,icd10,cardiomyopathy in diseases classified elsewhere,cardio,cardiomyopathy,
I51.5,hes_apc,diag,icd10,myocardial degeneration,cardio,cardiomyopathy,
I44,hes_apc,diag,icd10,atrioventricular and left bundle-branch block,cardio,conduction_disorder,
I45,hes_apc,diag,icd10,other conduction disorders,cardio,conduction_disorder,
I47,hes_apc,diag,icd10,paroxysmal tachycardia,cardio,conduction_disorder,
I48,hes_apc,diag,icd10,atrial fibrillation and flutter,cardio,conduction_disorder,
I49.0,hes_apc,diag,icd10,ventricular fibrillation and flutter,cardio,conduction_disorder,
I49.1,hes_apc,diag,icd10,atrial premature depolarization,cardio,dysrhythmia,
I49.3,hes_apc,diag,icd10,ventricular premature depolarization,cardio,dysrhythmia,
I49.4,hes_apc,diag,icd10,other and unspecified premature depolarization,cardio,dysrhythmia,
I49.5,hes_apc,diag,icd10,sick sinus syndrome,cardio,dysrhythmia,
I49.8,hes_apc,diag,icd10,other specified cardiac arrhythmias,cardio,dysrhythmia,
I49.9,hes_apc,diag,icd10,cardiac arrhythmia unspecified,cardio,dysrhythmia,
R00.1,hes_apc,diag,icd10,bradycardia unspecified,cardio,dysrhythmia,
I27.0,hes_apc,diag,icd10,primary pulmonary hypertension,cardio,other [cardio],
I27.1,hes_apc,diag,icd10,kyphoscoliotic heart disease,cardio,other [cardio],
I27.2,hes_apc,diag,icd10,other secondary pulmonary hypertension,cardio,other [cardio],
I27.8,hes_apc,diag,icd10,other specified pulmonary heart diseases,cardio,other [cardio],code_truncated
I27.9,hes_apc,diag,icd10,pulmonary heart disease unspecified,cardio,other [cardio],
I50.9,hes_apc,diag,icd10,heart failure unspecified,cardio,other [cardio],
I51.7,hes_apc,diag,icd10,cardiomegaly,cardio,other [cardio],
I51.8,hes_apc,diag,icd10,other ill-defined heart diseases,cardio,other [cardio],code_truncated
I63.1,hes_apc,diag,icd10,cerebral infarction due to embolism of precerebral arteries,cardio,other [cardio],code_truncated
I63.2,hes_apc,diag,icd10,cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,cardio,other [cardio],code_truncated
Z95.1,hes_apc,diag,icd10,presence of aortocoronary bypass graft,cardio,other [cardio],
T82.5,hes_apc,diag,icd10,mechanical complication of other cardiac and vascular devices and implants,cardio,devices [cardio],code_truncated
T82.1,hes_apc,diag,icd10,mechanical complication of cardiac electronic device,cardio,devices [cardio],code_truncated
T82.0,hes_apc,diag,icd10,mechanical complication of heart valve prosthesis,cardio,devices [cardio],code_truncated
T82.2,hes_apc,diag,icd10,mechanical complication of coronary artery bypass and valve grafts,cardio,devices [cardio],code_truncated
T82.6,hes_apc,diag,icd10,infection and inflammatory reaction due to cardiac valve prosthesis,cardio,devices [cardio],code_truncated
T82.7,hes_apc,diag,icd10,infection and inflammatory reaction due to other cardiac and vascular devices implants and grafts,cardio,devices [cardio],code_truncated
Z95.0,hes_apc,diag,icd10,presence of electronic cardiac devices,cardio,devices [cardio],
Z95.2,hes_apc,diag,icd10,presence of prosthetic heart valve,cardio,devices [cardio],
Z95.3,hes_apc,diag,icd10,presence of xenogenic heart valve,cardio,devices [cardio],
Z95.8,hes_apc,diag,icd10,presence of other cardiac and vascular implants and grafts,cardio,devices [cardio],code_truncated
Z45.0,hes_apc,diag,icd10,adjustment and management of cardiac devices,cardio,devices [cardio],code_truncated
Z95.9,hes_apc,diag,icd10,presence of cardiac and vascular implant and graft unspecified,cardio,devices [cardio],
T86.2,hes_apc,diag,icd10,heart transplant failure and rejection,cardio,transplantation [cardio],code_truncated
Z94.1,hes_apc,diag,icd10,heart transplant status,cardio,transplantation [cardio],
Q30,hes_apc,diag,icd10,congenital malformations of nose,resp,respiratory_malformations,
Q31,hes_apc,diag,icd10,congenital malformations of larynx,resp,respiratory_malformations,
Q32,hes_apc,diag,icd10,congenital malformations of trachea and bronchus,resp,respiratory_malformations,
Q33,hes_apc,diag,icd10,congenital malformations of lung,resp,respiratory_malformations,
Q34,hes_apc,diag,icd10,other congenital malformations of respiratory system,resp,respiratory_malformations,
P28.0,hes_apc,diag,icd10,primary atelectasis of newborn,resp,respiratory_malformations,
G47.3,hes_apc,diag,icd10,sleep apnoea,resp,chronic_resp_dis,code_truncated
I27.8,hes_apc,diag,icd10,other specified pulmonary heart diseases,resp,chronic_resp_dis,code_truncated
I43,hes_apc,diag,icd10,cardiomyopathy in diseases classified elsewhere,resp,chronic_resp_dis,
J84.1,hes_apc,diag,icd10,other interstitial pulmonary diseases with fibrosis,resp,chronic_resp_dis,code_truncated
Z90.2,hes_apc,diag,icd10,acquired absence of lung [part of],resp,chronic_resp_dis,
E84,hes_apc,diag,icd10,cystic fibrosis,resp,cystic_fibrosis,
J95.0,hes_apc,diag,icd10,tracheostomy malfunction,resp,devices [resp],code_truncated
Z43.0,hes_apc,diag,icd10,attention to tracheostomy,resp,devices [resp],
Z93.0,hes_apc,diag,icd10,tracheostomy status,resp,devices [resp],
Z99.0,hes_apc,diag,icd10,dependence on aspirator,resp,devices [resp],
J95.8,hes_apc,diag,icd10,other postprocedural respiratory disorders,resp,devices [resp],code_truncated
Z99.1,hes_apc,diag,icd10,dependence on respirator,resp,devices [resp],code_truncated
T86.8,hes_apc,diag,icd10,failure and rejection of other transplanted organs and tissues,resp,transplantation [resp],code_truncated
Z94.2,hes_apc,diag,icd10,lung transplant status,resp,transplantation [resp],
Q60,hes_apc,diag,icd10,renal agenesis and other reduction defects of kidney,renal_urol,congenital [renal_urol],
Q61,hes_apc,diag,icd10,cystic kidney disease,renal_urol,congenital [renal_urol],
Q62,hes_apc,diag,icd10,congenital obstructive defects of renal pelvis and congenital malformations of ureter,renal_urol,congenital [renal_urol],
Q63,hes_apc,diag,icd10,other congenital malformations of kidney,renal_urol,congenital [renal_urol],
Q64,hes_apc,diag,icd10,other congenital malformations of urinary system,renal_urol,congenital [renal_urol],
N18,hes_apc,diag,icd10,chronic kidney disease,renal_urol,chronic_renal_failure,
Z90.5,hes_apc,diag,icd10,acquired absence of kidney,renal_urol,other [renal_urol],
Z90.6,hes_apc,diag,icd10,acquired absence of other organs of urinary tract,renal_urol,other [renal_urol],
G83.4,hes_apc,diag,icd10,cauda equina syndrome,renal_urol,chronic_bladder_disease,
N31.2,hes_apc,diag,icd10,flaccid neuropathic bladder not elsewhere classified,renal_urol,chronic_bladder_disease,
N31.9,hes_apc,diag,icd10,neuromuscular dysfunction of bladder unspecified,renal_urol,chronic_bladder_disease,
T85.7,hes_apc,diag,icd10,infection and inflammatory reaction due to other internal prosthetic devices implants and grafts,renal_urol,devices [renal_urol],code_truncated
Z93.5,hes_apc,diag,icd10,cystostomy status,renal_urol,devices [renal_urol],code_truncated
Z93.6,hes_apc,diag,icd10,other artificial openings of urinary tract status,renal_urol,devices [renal_urol],
Z91.1,hes_apc,diag,icd10,personal history of noncompliance with medical treatment and regimen,renal_urol,devices [renal_urol],code_truncated
Z99.2,hes_apc,diag,icd10,dependence on renal dialysis,renal_urol,devices [renal_urol],
Z43.5,hes_apc,diag,icd10,attention to cystostomy,renal_urol,devices [renal_urol],
Z43.6,hes_apc,diag,icd10,attention to other artificial openings of urinary tract,renal_urol,devices [renal_urol],
Z46.6,hes_apc,diag,icd10,fitting and adjustment of urinary device,renal_urol,devices [renal_urol],
T86.1,hes_apc,diag,icd10,kidney transplant failure and rejection,renal_urol,transplantation [renal_urol],code_truncated
Z94.0,hes_apc,diag,icd10,kidney transplant status,renal_urol,transplantation [renal_urol],
Q39.0,hes_apc,diag,icd10,atresia of oesophagus without fistula,gastro,congenital [gastro],
Q39.1,hes_apc,diag,icd10,atresia of oesophagus with tracheo-oesophageal fistula,gastro,congenital [gastro],
Q39.2,hes_apc,diag,icd10,congenital tracheo-oesophageal fistula without atresia,gastro,congenital [gastro],
Q39.3,hes_apc,diag,icd10,congenital stenosis and stricture of oesophagus,gastro,congenital [gastro],
Q39.4,hes_apc,diag,icd10,oesophageal web,gastro,congenital [gastro],
Q41,hes_apc,diag,icd10,congenital absence atresia and stenosis of small intestine,gastro,congenital [gastro],
Q42,hes_apc,diag,icd10,congenital absence atresia and stenosis of large intestine,gastro,congenital [gastro],
Q43,hes_apc,diag,icd10,other congenital malformations of intestine,gastro,congenital [gastro],
Q44,hes_apc,diag,icd10,congenital malformations of gallbladder bile ducts and liver,gastro,congenital [gastro],
Q45,hes_apc,diag,icd10,other congenital malformations of digestive system,gastro,congenital [gastro],
K73,hes_apc,diag,icd10,chronic hepatitis not elsewhere classified,gastro,chronic_liver_dis,
K74,hes_apc,diag,icd10,fibrosis and cirrhosis of liver,gastro,chronic_liver_dis,
K75.4,hes_apc,diag,icd10,autoimmune hepatitis,gastro,chronic_liver_dis,
K76.0,hes_apc,diag,icd10,fatty (change of) liver not elsewhere classified,gastro,chronic_liver_dis,
K76.1,hes_apc,diag,icd10,chronic passive congestion of liver,gastro,chronic_liver_dis,
K76.2,hes_apc,diag,icd10,central haemorrhagic necrosis of liver,gastro,chronic_liver_dis,
K76.3,hes_apc,diag,icd10,infarction of liver,gastro,chronic_liver_dis,
K76.5,hes_apc,diag,icd10,hepatic veno-occlusive disease,gastro,chronic_liver_dis,
K76.8,hes_apc,diag,icd10,other specified diseases of liver,gastro,chronic_liver_dis,
K50,hes_apc,diag,icd10,crohn disease [regional enteritis],gastro,inflam_bowel_dis,
K51,hes_apc,diag,icd10,ulcerative colitis,gastro,inflam_bowel_dis,
I82.0,hes_apc,diag,icd10,budd-chiari syndrome,gastro,other [gastro],
K55.1,hes_apc,diag,icd10,chronic vascular disorders of intestine,gastro,other [gastro],
K56.2,hes_apc,diag,icd10,volvulus,gastro,other [gastro],
K59.3,hes_apc,diag,icd10,megacolon not elsewhere classified,gastro,other [gastro],
Z90.3,hes_apc,diag,icd10,acquired absence of part of stomach,gastro,other [gastro],
Z90.4,hes_apc,diag,icd10,acquired absence of other parts of digestive tract,gastro,other [gastro],
Z98.0,hes_apc,diag,icd10,intestinal bypass and anastomosis status,gastro,other [gastro],
Z93.1,hes_apc,diag,icd10,gastrostomy status,gastro,devices [gastro],
Z93.2,hes_apc,diag,icd10,ileostomy status,gastro,devices [gastro],
Z93.3,hes_apc,diag,icd10,colostomy status,gastro,devices [gastro],
Z93.4,hes_apc,diag,icd10,other artificial openings of gastrointestinal tract status,gastro,devices [gastro],
Z43.1,hes_apc,diag,icd10,attention to gastrostomy,gastro,devices [gastro],
Z43.2,hes_apc,diag,icd10,attention to ileostomy,gastro,devices [gastro],
Z43.3,hes_apc,diag,icd10,attention to colostomy,gastro,devices [gastro],
Z43.4,hes_apc,diag,icd10,attention to other artificial openings of digestive tract,gastro,devices [gastro],
Z46.5,hes_apc,diag,icd10,fitting and adjustment of ileostomy and other intestinal appliances,gastro,devices [gastro],code_truncated
T86.4,hes_apc,diag,icd10,liver transplant failure and rejection,gastro,transplantation [gastro],code_truncated
T86.8,hes_apc,diag,icd10,failure and rejection of other transplanted organs and tissues,gastro,transplantation [gastro],code_truncated
Z94.4,hes_apc,diag,icd10,liver transplant status,gastro,transplantation [gastro],
Z94.8,hes_apc,diag,icd10,other transplanted organ and tissue status,gastro,transplantation [gastro],code_truncated
D55,hes_apc,diag,icd10,anaemia due to enzyme disorders,hema_imm,hered_anemias,
D56,hes_apc,diag,icd10,thalassaemia,hema_imm,hered_anemias,
D57,hes_apc,diag,icd10,sickle-cell disorders,hema_imm,hered_anemias,
D58,hes_apc,diag,icd10,other hereditary haemolytic anaemias,hema_imm,hered_anemias,
D60,hes_apc,diag,icd10,acquired pure red cell aplasia [erythroblastopenia],hema_imm,aplastic_anemias,
D61,hes_apc,diag,icd10,other aplastic anaemias,hema_imm,aplastic_anemias,
D71,hes_apc,diag,icd10,functional disorders of polymorphonuclear neutrophils,hema_imm,aplastic_anemias,
D80,hes_apc,diag,icd10,immunodeficiency with predominantly antibody defects,hema_imm,hered_immun,
D81,hes_apc,diag,icd10,combined immunodeficiencies,hema_imm,hered_immun,
D82,hes_apc,diag,icd10,immunodeficiency associated with other major defects,hema_imm,hered_immun,
D83,hes_apc,diag,icd10,common variable immunodeficiency,hema_imm,hered_immun,
D84,hes_apc,diag,icd10,other immunodeficiencies,hema_imm,hered_immun,
D86,hes_apc,diag,icd10,sarcoidosis,hema_imm,hered_immun,
D89,hes_apc,diag,icd10,other disorders involving the immune mechanism not elsewhere classified,hema_imm,hered_immun,
D72.0,hes_apc,diag,icd10,genetic anomalies of leukocytes,hema_imm,hered_immun,
M30.3,hes_apc,diag,icd10,mucocutaneous lymph node syndrome [kawasaki],hema_imm,hered_immun,
M35.9,hes_apc,diag,icd10,systemic involvement of connective tissue unspecified,hema_imm,hered_immun,
D66,hes_apc,diag,icd10,hereditary factor viii deficiency,hema_imm,coagulation_hemor,
D68.2,hes_apc,diag,icd10,hereditary deficiency of other clotting factors,hema_imm,coagulation_hemor,
D69.4,hes_apc,diag,icd10,other primary thrombocytopenia,hema_imm,coagulation_hemor,code_truncated
D76.1,hes_apc,diag,icd10,haemophagocytic lymphohistiocytosis,hema_imm,hemophagocytic_syn,
D76.2,hes_apc,diag,icd10,haemophagocytic syndrome infection-associated,hema_imm,hemophagocytic_syn,
D76.3,hes_apc,diag,icd10,other histiocytosis syndromes,hema_imm,hemophagocytic_syn,
B20,hes_apc,diag,icd10,human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases,hema_imm,acquired_immon,
B21,hes_apc,diag,icd10,human immunodeficiency virus [hiv] disease resulting in malignant neoplasms,hema_imm,acquired_immon,
B23,hes_apc,diag,icd10,human immunodeficiency virus [hiv] disease resulting in other conditions,hema_imm,acquired_immon,
B24,hes_apc,diag,icd10,unspecified human immunodeficiency virus [hiv] disease,hema_imm,acquired_immon,
M30.0,hes_apc,diag,icd10,polyarteritis nodosa,hema_imm,polyarteritis_and_rel,
M31.0,hes_apc,diag,icd10,hypersensitivity angiitis,hema_imm,polyarteritis_and_rel,
M31.1,hes_apc,diag,icd10,thrombotic microangiopathy,hema_imm,polyarteritis_and_rel,
M31.3,hes_apc,diag,icd10,wegener granulomatosis,hema_imm,polyarteritis_and_rel,code_truncated
M31.4,hes_apc,diag,icd10,aortic arch syndrome [takayasu],hema_imm,polyarteritis_and_rel,
M31.6,hes_apc,diag,icd10,other giant cell arteritis,hema_imm,polyarteritis_and_rel,
M32.1,hes_apc,diag,icd10,systemic lupus erythematosus with organ or system involvement,hema_imm,diff_dis_connective,code_truncated
M33.9,hes_apc,diag,icd10,dermatopolymyositis unspecified,hema_imm,diff_dis_connective,code_truncated
M34.0,hes_apc,diag,icd10,progressive systemic sclerosis,hema_imm,diff_dis_connective,
M34.1,hes_apc,diag,icd10,cr(e)st syndrome,hema_imm,diff_dis_connective,
M34.9,hes_apc,diag,icd10,systemic sclerosis unspecified,hema_imm,diff_dis_connective,
E70.0,hes_apc,diag,icd10,classical phenylketonuria,metab,amino_acid,
E70.2,hes_apc,diag,icd10,disorders of tyrosine metabolism,metab,amino_acid,
E70.3,hes_apc,diag,icd10,albinism,metab,amino_acid,
E70.8,hes_apc,diag,icd10,other disorders of aromatic amino-acid metabolism,metab,amino_acid,
E71.0,hes_apc,diag,icd10,maple-syrup-urine disease,metab,amino_acid,
E71.1,hes_apc,diag,icd10,other disorders of branched-chain amino-acid metabolism,metab,amino_acid,
E71.2,hes_apc,diag,icd10,disorder of branched-chain amino-acid metabolism unspecified,metab,amino_acid,
E71.3,hes_apc,diag,icd10,disorders of fatty-acid metabolism,metab,amino_acid,
E72.0,hes_apc,diag,icd10,disorders of amino-acid transport,metab,amino_acid,
E72.1,hes_apc,diag,icd10,disorders of sulfur-bearing amino-acid metabolism,metab,amino_acid,
E72.3,hes_apc,diag,icd10,disorders of lysine and hydroxylysine metabolism,metab,amino_acid,
E72.4,hes_apc,diag,icd10,disorders of ornithine metabolism,metab,amino_acid,
E72.8,hes_apc,diag,icd10,other specified disorders of amino-acid metabolism,metab,amino_acid,
E72.9,hes_apc,diag,icd10,disorder of amino-acid metabolism unspecified,metab,amino_acid,
E74.0,hes_apc,diag,icd10,glycogen storage disease,metab,carb,
E74.1,hes_apc,diag,icd10,disorders of fructose metabolism,metab,carb,
E74.2,hes_apc,diag,icd10,disorders of galactose metabolism,metab,carb,
E74.3,hes_apc,diag,icd10,other disorders of intestinal carbohydrate absorption,metab,carb,
E74.4,hes_apc,diag,icd10,disorders of pyruvate metabolism and gluconeogenesis,metab,carb,
E74.8,hes_apc,diag,icd10,other specified disorders of carbohydrate metabolism,metab,carb,
E74.9,hes_apc,diag,icd10,disorder of carbohydrate metabolism unspecified,metab,carb,
E75,hes_apc,diag,icd10,disorders of sphingolipid metabolism and other lipid storage disorders,metab,lipid,
E77.0,hes_apc,diag,icd10,defects in post-translational modification of lysosomal enzymes,metab,lipid,
E77.1,hes_apc,diag,icd10,defects in glycoprotein degradation,metab,lipid,
E78.0,hes_apc,diag,icd10,pure hypercholesterolaemia,metab,lipid,
E78.1,hes_apc,diag,icd10,pure hyperglyceridaemia,metab,lipid,
E78.2,hes_apc,diag,icd10,mixed hyperlipidaemia,metab,lipid,
E78.3,hes_apc,diag,icd10,hyperchylomicronaemia,metab,lipid,
E78.4,hes_apc,diag,icd10,other hyperlipidaemia,metab,lipid,
E78.5,hes_apc,diag,icd10,hyperlipidaemia unspecified,metab,lipid,
E78.6,hes_apc,diag,icd10,lipoprotein deficiency,metab,lipid,
E78.8,hes_apc,diag,icd10,other disorders of lipoprotein metabolism,metab,lipid,
E78.9,hes_apc,diag,icd10,disorder of lipoprotein metabolism unspecified,metab,lipid,
E88.1,hes_apc,diag,icd10,lipodystrophy not elsewhere classified,metab,lipid,
E88.8,hes_apc,diag,icd10,other specified metabolic disorders,metab,lipid,
